City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description
376,Nancha,47.1333,129.2667,35.17,79,100,2.73,CN,2021-11-28 05:47:05,overcast clouds
377,Adre,13.4667,22.2,68.63,22,3,13.96,TD,2021-11-28 05:47:06,clear sky
378,Plouzane,48.3833,-4.6167,42.85,87,75,8.05,FR,2021-11-28 05:47:06,light rain
379,Dubbo,-32.25,148.6167,69.93,60,86,14.97,AU,2021-11-28 05:45:31,light rain
380,Kavaratti,10.5669,72.642,82.89,71,100,9.69,IN,2021-11-28 05:47:07,overcast clouds
381,Port Hardy,50.6996,-127.4199,48.2,93,90,18.41,CA,2021-11-28 05:47:07,moderate rain
382,Miandrivazo,-19.5167,45.4667,86.74,43,15,2.95,MG,2021-11-28 05:47:08,few clouds
383,Ust-Tarka,55.5672,75.705,20.41,93,99,11.01,RU,2021-11-28 05:47:08,overcast clouds
384,Xuddur,4.1213,43.8894,79.2,67,15,13.13,SO,2021-11-28 05:47:09,few clouds
385,Sumbe,-11.2061,13.8437,73.83,93,100,3.11,AO,2021-11-28 05:47:09,moderate rain
386,Puerto Del Rosario,28.5004,-13.8627,62.35,77,4,10.36,ES,2021-11-28 05:47:09,clear sky
387,Linxia,35.6003,103.2064,35.33,74,90,8.08,CN,2021-11-28 05:47:10,overcast clouds
388,Mountain Home,43.133,-115.6912,36.34,100,1,8.05,US,2021-11-28 05:47:10,clear sky
389,Itarema,-2.9248,-39.9167,79.93,78,69,9.78,BR,2021-11-28 05:47:11,broken clouds
390,Vao,-22.6667,167.4833,75.54,86,84,17.92,NC,2021-11-28 05:47:11,light rain
391,Medzilaborce,49.2719,21.9007,39.9,99,100,3.15,SK,2021-11-28 05:47:12,light rain
392,Kruisfontein,-34.0033,24.7314,73.47,44,23,13.33,ZA,2021-11-28 05:47:12,few clouds
393,Belyy Yar,53.6039,91.3903,31.89,47,0,20.13,RU,2021-11-28 05:42:30,clear sky
394,Ostrovnoy,68.0531,39.5131,7.11,93,79,6.67,RU,2021-11-28 05:47:13,broken clouds
395,Pedernales,18.0384,-71.744,77.02,74,29,3.06,DO,2021-11-28 05:47:13,scattered clouds
396,Camacha,33.0833,-16.3333,62.02,55,40,21.85,PT,2021-11-28 05:47:13,scattered clouds
397,La Mana,-0.9333,-79.2167,72.1,91,99,0.74,EC,2021-11-28 05:47:14,overcast clouds
398,Montecristi,-1.05,-80.6667,71.42,88,90,6.91,EC,2021-11-28 05:47:14,overcast clouds
399,Green River,41.5286,-109.4662,36.0,68,89,8.23,US,2021-11-28 05:47:15,overcast clouds
400,Manbij,36.5281,37.9549,54.37,64,100,8.28,SY,2021-11-28 05:47:15,overcast clouds
401,Christchurch,-43.5333,172.6333,57.4,88,75,14.97,NZ,2021-11-28 05:46:13,broken clouds
402,Cao Bang,22.6667,106.25,75.13,46,49,3.29,VN,2021-11-28 05:47:16,scattered clouds
403,Rokiskis,55.9667,25.5833,32.38,99,100,5.68,LT,2021-11-28 05:47:16,overcast clouds
404,Marolambo,-20.05,48.1167,64.51,95,100,3.8,MG,2021-11-28 05:47:16,overcast clouds
405,Norrtalje,59.758,18.705,28.33,57,100,10.2,SE,2021-11-28 05:47:17,overcast clouds
406,Viedma,-40.8135,-62.9967,56.46,90,74,7.65,AR,2021-11-28 05:47:17,broken clouds
407,Lagoa,39.05,-27.9833,61.16,61,97,7.11,PT,2021-11-28 05:47:17,overcast clouds
408,Truro,50.2653,-5.0544,43.88,70,75,21.85,GB,2021-11-28 05:47:18,broken clouds
409,Riyadh,24.6877,46.7219,66.25,32,0,5.75,SA,2021-11-28 05:44:09,clear sky
410,Hun,29.1268,15.9477,71.46,28,100,12.41,LY,2021-11-28 05:47:18,overcast clouds
411,Bulaevo,54.9056,70.4439,17.58,91,92,10.31,KZ,2021-11-28 05:47:18,overcast clouds
412,Katsuura,35.1333,140.3,57.31,43,0,8.48,JP,2021-11-28 05:48:19,clear sky
413,Leshukonskoye,64.8989,45.7622,5.58,96,100,5.68,RU,2021-11-28 05:48:19,overcast clouds
414,Kirkwall,58.9848,-2.9587,33.85,93,75,10.36,GB,2021-11-28 05:48:19,light snow
415,Artyom,40.4723,50.333,51.94,84,86,9.33,AZ,2021-11-28 05:48:20,overcast clouds
416,Khanpur,28.6453,70.6567,79.38,15,0,9.4,PK,2021-11-28 05:44:32,clear sky
417,Aden,12.7794,45.0367,82.27,59,0,9.22,YE,2021-11-28 05:48:20,clear sky
418,Matara,5.9485,80.5353,83.12,72,100,5.12,LK,2021-11-28 05:48:21,overcast clouds
419,Vangaindrano,-23.35,47.6,72.5,55,87,8.21,MG,2021-11-28 05:48:21,overcast clouds
420,Tommot,58.9564,126.2925,3.36,88,99,8.46,RU,2021-11-28 05:48:21,overcast clouds
421,Severo-Kurilsk,50.6789,156.125,30.25,70,95,28.23,RU,2021-11-28 05:48:22,overcast clouds
422,Ust-Karsk,52.7011,118.8077,17.42,76,100,2.13,RU,2021-11-28 05:48:22,overcast clouds
423,Gayny,60.3071,54.3241,31.59,84,100,11.68,RU,2021-11-28 05:48:22,overcast clouds
424,Batemans Bay,-35.7167,150.1833,61.79,64,92,7.18,AU,2021-11-28 05:48:23,overcast clouds
425,Maraa,-1.8333,-65.3667,72.99,96,70,2.33,BR,2021-11-28 05:48:23,broken clouds
426,Zhangye,38.9342,100.4517,26.4,70,100,14.9,CN,2021-11-28 05:43:28,overcast clouds
427,Mount Gambier,-37.8333,140.7667,75.11,46,1,14.97,AU,2021-11-28 05:48:24,clear sky
