,City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date,Weather description,Hotel Name
323,323,Kaiyuan,23.6977,103.3037,67.95,61,67,3.69,CN,2021-11-28 05:45:47,broken clouds,Dongqi Hotel
324,324,Ipora,-16.4419,-51.1178,69.55,94,37,0.36,BR,2021-11-28 05:45:47,scattered clouds,Oásis Motel
325,325,Anjangaon,21.1631,77.3094,79.74,28,55,7.83,IN,2021-11-28 05:45:47,broken clouds,Shivam Lodge
326,326,Guatire,10.4762,-66.5427,73.9,98,57,0.81,VE,2021-11-28 05:45:48,broken clouds,Parque Residencial Canaima I
327,327,Biu,10.6129,12.1946,67.3,29,70,6.58,NG,2021-11-28 05:45:48,broken clouds,Emir's Palace
329,329,Trairi,-3.2778,-39.2689,80.64,76,73,8.79,BR,2021-11-28 05:41:04,broken clouds,janelas do mar
330,330,Tabuk,17.4189,121.4443,81.7,75,92,8.46,PH,2021-11-28 05:45:49,overcast clouds,Golden Berries Hotel and Convention
333,333,Maragogi,-9.0122,-35.2225,79.36,71,100,8.23,BR,2021-11-28 05:45:00,overcast clouds,Salinas do Maragogi All Inclusive Resort
338,338,Vila Velha,-20.3297,-40.2925,73.35,83,0,9.22,BR,2021-11-28 05:45:51,clear sky,Quality Suites Vila Velha
340,340,Diamantino,-14.4086,-56.4461,74.1,87,100,4.63,BR,2021-11-28 05:45:18,overcast clouds,Hotel Delta
341,341,Picui,-6.5106,-36.3469,71.46,87,54,10.96,BR,2021-11-28 05:45:52,broken clouds,Pousada Seridó Gold
343,343,Nelson Bay,-32.7167,152.15,66.25,72,97,14.56,AU,2021-11-28 05:45:53,moderate rain,Mantra Nelson Bay
344,344,Flinders,-34.5833,150.8552,63.68,69,82,11.03,AU,2021-11-28 05:45:53,broken clouds,Shellharbour Resort & Conference Centre
345,345,Ponta Do Sol,32.6667,-17.1,65.03,74,48,6.49,PT,2021-11-28 05:45:54,scattered clouds,Hotel do Campo
346,346,Cidreira,-30.1811,-50.2056,69.3,94,88,3.29,BR,2021-11-28 05:45:54,overcast clouds,Hotel Castelo
347,347,Celestun,20.8667,-90.4,72.57,87,40,8.25,MX,2021-11-28 05:45:55,scattered clouds,Posada Lilia
348,348,Salinopolis,-0.6136,-47.3561,79.61,80,47,8.72,BR,2021-11-28 05:45:55,scattered clouds,Salinas Park Resort Maçarico AP101
349,349,Lanxi,29.2195,119.477,64.15,66,65,6.44,CN,2021-11-28 05:45:55,broken clouds,Shangri-La Hotel
350,350,Kantang,7.4054,99.5156,77.09,100,40,3.44,TH,2021-11-28 05:45:56,scattered clouds,Reng Ta Chai Boutique HomeStay
351,351,Bintulu,3.1667,113.0333,84.61,84,40,2.3,MY,2021-11-28 05:45:56,scattered clouds,900 Boutique INN
352,352,Grand Gaube,-20.0064,57.6608,84.6,66,4,9.06,MU,2021-11-28 05:45:56,clear sky,Veranda Paul et Virginie Hotel & Spa
353,353,Presidencia Roque Saenz Pena,-26.7852,-60.4388,67.44,92,100,5.35,AR,2021-11-28 05:42:32,moderate rain,Hotel Aconcagua
354,354,Cotonou,6.3654,2.4183,78.78,94,20,2.3,BJ,2021-11-28 05:45:57,few clouds,Novotel Cotonou Orisha
356,356,Salalah,17.0151,54.0924,82.49,30,0,4.61,OM,2021-11-28 05:45:57,clear sky,"HAMDAN PLAZA HOTEL SALALAH, an HTG Hotel"
357,357,Salta,-24.7859,-65.4117,71.89,77,0,2.3,AR,2021-11-28 05:45:58,clear sky,Hotel Alejandro I
359,359,Port Elizabeth,-33.918,25.5701,75.49,50,0,10.36,ZA,2021-11-28 05:45:59,clear sky,39 On Nile Guest House
360,360,Mangrol,21.1167,70.1167,83.01,46,97,5.5,IN,2021-11-28 05:45:59,overcast clouds,Hotel The Royal Honours
361,361,Yulara,-25.2406,130.9889,85.84,14,0,11.5,AU,2021-11-28 05:46:00,clear sky,Desert Gardens Hotel - Ayers Rock Resort
362,362,Moussoro,13.6408,16.4901,72.3,17,21,11.32,TD,2021-11-28 05:46:00,few clouds,Hôtel Salama
364,364,Dzaoudzi,-12.7887,45.2699,82.29,74,75,12.66,YT,2021-11-28 05:46:01,light rain,Le Rocher
366,366,Luanda,-8.8368,13.2343,75.2,94,75,8.05,AO,2021-11-28 05:47:02,broken clouds,Hotel Fórum
367,367,Oyo,7.85,3.9333,73.24,93,100,3.0,NG,2021-11-28 05:47:02,overcast clouds,Gold N Rock Hotel Nigeria Limited
368,368,Alice Springs,-23.7,133.8833,81.95,21,0,5.75,AU,2021-11-28 05:43:47,clear sky,Desert Palms Alice Springs
371,371,La Mira,18.035,-102.3266,72.3,82,10,3.8,MX,2021-11-28 05:47:04,clear sky,Cabaña San Francisco
372,372,Lucea,18.451,-78.1736,76.86,68,2,9.19,JM,2021-11-28 05:47:04,clear sky,Grand Palladium Jamaica Resort & Spa
373,373,Lubango,-14.9172,13.4925,67.42,32,100,1.57,AO,2021-11-28 05:47:04,overcast clouds,Hotel Serra da Chela
379,379,Dubbo,-32.25,148.6167,69.93,60,86,14.97,AU,2021-11-28 05:45:31,light rain,Comfort Inn Blue Lagoon
380,380,Kavaratti,10.5669,72.642,82.89,71,100,9.69,IN,2021-11-28 05:47:07,overcast clouds,Hotels in Lakshadweep Islands
382,382,Miandrivazo,-19.5167,45.4667,86.74,43,15,2.95,MG,2021-11-28 05:47:08,few clouds,Hôtel Arc En Ciel Miandrivazo
384,384,Xuddur,4.1213,43.8894,79.2,67,15,13.13,SO,2021-11-28 05:47:09,few clouds,Banjanay Hotel
385,385,Sumbe,-11.2061,13.8437,73.83,93,100,3.11,AO,2021-11-28 05:47:09,moderate rain,Hotel Ritz Sumbe
386,386,Puerto Del Rosario,28.5004,-13.8627,62.35,77,4,10.36,ES,2021-11-28 05:47:09,clear sky,Hotel JM Puerto del Rosario
389,389,Itarema,-2.9248,-39.9167,79.93,78,69,9.78,BR,2021-11-28 05:47:11,broken clouds,"Sea Lounge! Bar, Club & Restaurant"
390,390,Vao,-22.6667,167.4833,75.54,86,84,17.92,NC,2021-11-28 05:47:11,light rain,Hotel Kou-Bugny
392,392,Kruisfontein,-34.0033,24.7314,73.47,44,23,13.33,ZA,2021-11-28 05:47:12,few clouds,Oyster Bay House Rental
395,395,Pedernales,18.0384,-71.744,77.02,74,29,3.06,DO,2021-11-28 05:47:13,scattered clouds,Hotel Costa Marina
396,396,Camacha,33.0833,-16.3333,62.02,55,40,21.85,PT,2021-11-28 05:47:13,scattered clouds,Hotel Porto Santo & Spa
397,397,La Mana,-0.9333,-79.2167,72.1,91,99,0.74,EC,2021-11-28 05:47:14,overcast clouds,Hotel Somagg
398,398,Montecristi,-1.05,-80.6667,71.42,88,90,6.91,EC,2021-11-28 05:47:14,overcast clouds,Balcones del Cerro Hotel - Cabañas
402,402,Cao Bang,22.6667,106.25,75.13,46,49,3.29,VN,2021-11-28 05:47:16,scattered clouds,khách sạn 88
404,404,Marolambo,-20.05,48.1167,64.51,95,100,3.8,MG,2021-11-28 05:47:16,overcast clouds,local guide suport centre
407,407,Lagoa,39.05,-27.9833,61.16,61,97,7.11,PT,2021-11-28 05:47:17,overcast clouds,Casa Das Faias
